station_code,station_name,lat,lon,municipality_sk,municipality_name,province_sk,number_of_monuments
WW,Winterswijk,51.9677307,6.7155181,28dd2c7955ce926456240b2ff0100bde,Winterswijk,1679091c5a880faf6fb5e6087eb1b2dc,81
PT,Putten,52.264999389648,5.5752778053284,a3f390d88e4c41f2747bfa2f1b5f87db,Putten,1679091c5a880faf6fb5e6087eb1b2dc,99
OMN,Ommen,52.50944519043,6.4158334732056,19ca14e7ea6328a42e0eb13d585e4c22,Ommen,a87ff679a2f3e71d9181a67b7542122c,105
HWZB,Halfweg-Zwanenburg,52.385935,4.747165,eb160de1de89d9058fcb0b968dbbbd68,Haarlemmermeer,c9f0f895fb98ab9159f51fd0297e236d,36
NVP,Nieuw Vennep,52.258888244629,4.6455554962158,eb160de1de89d9058fcb0b968dbbbd68,Haarlemmermeer,c9f0f895fb98ab9159f51fd0297e236d,36
GND,Hardinxveld-Giessendam,51.830554962158,4.8358335494995,f2217062e9a397a1dca429e7d70bc6ca,Hardinxveld-Giessendam,45c48cce2e2d7fbdea1afc51c7c6ad26,11
EDC,Ede Centrum,52.043609619141,5.668333530426,b53b3a3d6ab90ce0268229151c9bde11,Ede,1679091c5a880faf6fb5e6087eb1b2dc,222
ASD,Amsterdam Centraal,52.378887176514,4.9002776145935,a97da629b098b75c294dffdc3e463904,Amsterdam,c9f0f895fb98ab9159f51fd0297e236d,7684
HD,Harderwijk,52.337501525879,5.619722366333,093f65e080a295f8076b1c5722a46aa2,Harderwijk,1679091c5a880faf6fb5e6087eb1b2dc,109
ZP,Zutphen,52.145278930664,6.1941666603088,43ec517d68b6edd3015b3edc9a11367b,Zutphen,1679091c5a880faf6fb5e6087eb1b2dc,438
EMN,Emmen,52.790000915527,6.8994445800781,98f13708210194c475687be6106a3b84,Emmen,eccbc87e4b5ce2fe28308fd9f2a7baf3,116
ZA,Zetten-Andelst,51.920056,5.7228408,53c3bce66e43be4f209556518c2fcb54,Overbetuwe,1679091c5a880faf6fb5e6087eb1b2dc,111
